ID,NOMBRE ARCHIVO,CANTIDAD,ZONA,ESTADO,ID CLIENTE
1,lorem.jpeg,8,1,1,2
2,aliquamAugue.tiff,25,3,2,6
3,quisLiberoNullam.gif,182,3,1,4
4,tristiqueEst.jpeg,40,1,2,5
5,consequat.gif,66,3,1,1
6,viverra.jpeg,25,2,2,8
7,ametConst.png,83,2,1,3
8,atVelit.gif,20,2,2,5
9,fusce.tiff,17,3,2,8
10,estQuam.jpeg,39,1,2,3
11,quamSuspend.tiff,50,1,1,1
12,ultricesPosuere.jpeg,66,1,1,1
13,lectusAliquam.jpeg,42,3,2,9
14,plateaDictumst.jpeg,3,2,2,3
15,a.png,49,1,1,2
16,consequatMetus.jpeg,2,2,1,6
17,magna.tiff,96,3,1,8
18,sedMagna.jpeg,26,3,2,2
19,nulla.gif,75,2,1,5
20,quisTurpis.jpeg,85,2,2,1
